Date,Average temperature,Average dewpoint,Average windspeed,Average direction,Rainfall for year,Maximum temperature,Maximum humidity,Maximum pressure,Maximum windspeed ,Maximum heat index,Average humidity,Average barometer,Average gustspeed,Rainfall for month,Maximum rain per minute,Minimum temperature,Minimum humidity,Minimum pressure,Maximum gust speed
1/01/2015,8.1,-2.1,1.2,28,0.01,31.3,78,30.606,10.4,31.3,65,30.4,2.3,0.01,0.01,-9.0,31,30.230,13.8
2/01/2015,61,30.1,4.8,0.01,0.00,8.8,34,29.882,20.7,20.8,8.6,3.1,275,0.01,36.2,80,30.383,13.8,36.2
3/01/2015,24.2,10.1,7.4,242,0.01,34.4,79,30.266,18.4,34.4,56,29.9,10.9,0.01,0.00,7.9,43,29.742,28.8
4/01/2015,47,30.3,18.0,0.01,0.00,12.3,36,30.139,43.7,26.4,8.7,11.3,237,0.01,33.1,77,30.364,28.8,33.1
5/01/2015,38.9,21.9,20.7,247,0.02,46.8,71,30.253,36.8,46.8,50,30.0,30.8,0.02,0.01,32.2,39,29.855,56.4
6/01/2015,48,30.2,15.5,0.02,0.00,40.3,37,30.086,34.5,44.0,25.4,9.9,247,0.02,49.5,58,30.296,24.2,49.5
7/01/2015,28.3,15.2,3.6,195,0.02,46.7,87,30.735,20.7,46.7,63,30.5,5.9,0.02,0.00,11.2,20,30.115,27.6
8/01/2015,46,30.0,12.7,0.02,0.00,16.5,21,29.792,34.5,40.4,17.4,8.2,214,0.02,53.3,89,30.258,24.2,53.3
9/01/2015,26.1,16.7,2.6,199,0.02,40.6,87,30.451,19.6,40.6,71,30.3,4.3,0.02,0.00,15.4,28,29.916,27.6
10/01/2015,43,29.9,12.5,0.02,0.00,34.0,38,29.803,29.9,39.0,18.2,8.5,236,0.02,43.5,52,30.015,19.6,43.5
11/01/2015,34.8,23.9,4.2,256,0.02,39.3,90,30.208,13.8,39.3,66,29.9,6.4,0.02,0.00,26.1,47,29.777,19.6
